dancedancerevolution2ndmix	Dance Dance Revolution 2ndMix	Ritmo	1999	Konami
dancingblade	Dancing Blade	Aventura	1999	
dancingbladeiitearsofeden	Dancing Blade II: Tears of Eden		1999	
darkstalkers	Darkstalkers	Luta		Capcom
darkstalkerschroniclethechaostower	Darkstalkers Chronicle: The Chaos Tower	Luta	2004	
davemirrafreestylebmx	Dave Mirra Freestyle BMX	Esporte	2000	Underground Development
deadoralive	Dead or Alive	Luta		Team Ninja
deadoralive2	Dead or Alive 2	Luta	1999	Team Ninja
deathcrimson2meranitonosaidan	Death Crimson 2: Meranito no Saidan	Tiro	1999	Ecole Software
deathcrimsonox	Death Crimson OX	Tiro	2001	Ecole Software
decathlete	DecAthlete	Esporte	1996	
deepfighter	Deep Fighter	Simulacao	2000	Criterion Games
demolitionracer	Demolition Racer	Corrida	1999	Midway Studios – Newcastle
demolitionracernoexit	Demolition Racer: No Exit	Corrida		
dinocrisis	Dino Crisis	Aventura	1999	Capcom
disneys102dalmatianspuppiestotherescue	Disney's 102 Dalmatians: Puppies to the Rescue	Plataforma	2000	Crystal Dynamics
disneysdinosaur	Disney's Dinosaur	Aventura	2000	
dokidokiidolstarseeker	Doki Doki Idol Star Seeker	Puzzle		
donaldduckgoinquackers	Donald Duck: Goin' Quackers	Plataforma	2000	
donk	Donk!	Plataforma	1994	
draconuscultofthewyrm	Draconus: Cult of the Wyrm	Acao	2000	Treyarch
dragonriderschroniclesofpern	Dragonriders: Chronicles of Pern	Aventura	2001	Ubisoft
dreamlibrary	Dream Library			Sega
dreamshell	DreamShell			
dreamarena	Dreamarena		1999	Sega
dreamcasthomebrew	Dreamcast homebrew			
ducatiworldracingchallenge	Ducati World Racing Challenge	Corrida	2001	Attention to Detail
dynamitecop	Dynamite Cop	Luta	1999	Sega Wow
dskai2againrefrain	Dōsōkai 2: Again & Refrain	Aventura	2002	
ecwanarchyrulz	ECW Anarchy Rulz	Luta	2000	Sculptured Software
ecwhardcorerevolution	ECW Hardcore Revolution	Luta	2000	
espnnba2night	ESPN NBA 2Night			
eccothedolphin	Ecco the Dolphin	Aventura	1992	Appaloosa Interactive
eldoradogate	El Dorado Gate	RPG	2000	Capcom
elementalgimmickgear	Elemental Gimmick Gear	RPG	1999	Birthday
elysioneiennosanctuary	Elysion ~Eien no Sanctuary~	Aventura		Terios
erdenezutokinoshitade	Erde: Nezu to Ki no Shita de	Aventura	2002	KID
europeansuperleague	European Super League			
evezero	Eve Zero	Aventura	2000	
ever17theoutofinfinity	Ever 17: The Out of Infinity	Aventura	2002	KID
evildeadhailtotheking	Evil Dead: Hail to the King	Aventura	2000	Heavy Iron Studios
eviltwincyprienschronicles	Evil Twin: Cyprien's Chronicles	Plataforma	2001	In Utero
evolution2faroffpromise	Evolution 2: Far Off Promise	RPG	1999	Sting
evolutiontheworldofsacreddevice	Evolution: The World of Sacred Device	RPG	1999	Sting
exhibitionofspeed	Exhibition of Speed	Corrida	2001	Titus Interactive
exodusguilty	Exodus Guilty	Aventura	1998	
f1worldgrandprix	F-1 World Grand Prix	Corrida	1998	Paradigm Entertainment
f1worldgrandprixii	F-1 World Grand Prix II	Corrida	1999	Video System
f1racingchampionship	F1 Racing Championship	Corrida	2000	Ubisoft Shanghai
f355challenge	F355 Challenge	Corrida	1999	Sega AM2
fadetoblack	Fade to Black	Aventura	1995	Delphine Software International
faststriker	Fast Striker	Tiro	2010	NG.DEV.TEAM
feetoffury	Feet of Fury	Ritmo	2003	
fightingforce2	Fighting Force 2	Luta	1999	Core Design
fightingvipers2	Fighting Vipers 2	Luta	2001	Sega AM2
fireprowrestlingd	Fire Pro Wrestling D		2001	
firstkissstoryii	First Kiss Story II	Aventura	2002	HuneX
flagtoflag	Flag to Flag	Corrida	1999	Zoom
flashback	Flashback	Plataforma	1992	Delphine Software International
floiganbros	Floigan Bros.	Aventura	2001	Visual Concepts
fragrancetale	Fragrance Tale	Aventura	2001	Takuyo
framegride	Frame Gride	Luta	1999	FromSoftware
frogger2swampysrevenge	Frogger 2: Swampy's Revenge	Acao	2000	Blitz Games
fukakuteisekainotanteishinshi	Fukakutei Sekai no Tantei Shinshi	Aventura	2000	
furfighters	Fur Fighters	Tiro	2000	Bizarre Creations
gaiamaster	Gaia Master		2000	Capcom
galaxian	Galaxian	Tiro		Namco
garoumarkofthewolves	Garou: Mark of the Wolves	Luta	1999	SNK
gauntletlegends	Gauntlet Legends	Acao	1999	Atari Games
ghostblade	Ghost Blade	Tiro	2015	
giantkillers	Giant Killers		2001	
gigawing	Giga Wing	Tiro	1999	Takumi Corporation
gigawing2	Giga Wing 2	Tiro	2001	Takumi Corporation
godzillagenerations	Godzilla Generations	Acao	1998	General Entertainment
godzillagenerationsmaximumimpact	Godzilla Generations: Maximum Impact	Acao	1999	General Entertainment
goldsrc	GoldSrc			Valve Corporation
gorkamorka	Gorkamorka			Realtime Associates
grandtheftauto	Grand Theft Auto	Aventura		Rockstar Lincoln
grandiaii	Grandia II	RPG	2000	Game Arts
guiltygear	Guilty Gear	Luta		Arc System Works
guiltygearx	Guilty Gear X	Luta	2000	Arc System Works
gunbird2	Gunbird 2	Tiro	1998	Psikyo
gundambattleonline	Gundam Battle Online	Acao	2001	Bandai
gundamsidestory0079risefromtheashes	Gundam Side Story 0079: Rise from the Ashes	Acao	1999	Bandai
gunlord	Gunlord	Tiro	2012	NEO XYX
happybreeding	Happy Breeding	Aventura	2002	Purple software
happylesson	Happy Lesson	Simulacao	2001	
hatsumeiboykanipan	Hatsumei Boy Kanipan		1999	
heavymetalgeomatrix	Heavy Metal: Geomatrix	Luta	2001	Capcom
hiddendangerous	Hidden & Dangerous	Acao	1999	
himitsuyuigaitanatsu	Himitsu: Yui ga Ita Natsu	Aventura	2001	STARFISH-SD
hoylecasino	Hoyle Casino		2004	Encore, Inc.
hundredswords	Hundred Swords	Estrategia	2001	
hydrothunder	Hydro Thunder	Corrida	1999	Midway Games
hypethetimequest	Hype: The Time Quest	Aventura	1999	Playmobil
idoljanshisuchiepai	Idol Janshi Suchie-Pai		1993	
ikaruga	Ikaruga	Tiro	2001	Treasure
illbleed	Illbleed	Aventura	2001	
incoming	Incoming	Tiro	1998	
industrialspyoperationespionage	Industrial Spy: Operation Espionage	Estrategia	1999	HuneX
interlude	Interlude	Aventura	2003	
internationaltrackfield2000	International Track & Field 2000		1999	Konami
iridesmasterofblocks	Irides: Master of Blocks	Puzzle	2009	
iris	Iris	Aventura	2003	KID
ironaces	Iron Aces	Simulacao	2001	
izumo	Izumo	RPG	2001	Studio e.go!
jeremymcgrathsupercross2000	Jeremy McGrath Supercross 2000	Corrida	1999	
jimmywhites2cueball	Jimmy White's 2: Cueball		2000	UTV Ignition Games
jojosbizarreadventure	JoJo's Bizarre Adventure	Luta	1999	Capcom
july	July		1998	
kaenseibothevirginonmegiddo	Kaen Seibo: The Virgin on Megiddo	Aventura	2001	Studio Line
kanon	Kanon	Aventura	1999	Key
kaothekangaroo	Kao the Kangaroo	Aventura	2000	
karous	Karous	Tiro	2007	Milestone
kazenouta	Kaze no Uta	Aventura	2002	
kidsenshigundamgirennoyabzeonnokeifu	Kidō Senshi Gundam: Giren no Yabō - Zeon no Keifu	Estrategia	2000	Bandai
killerloop	Killer Loop	Corrida	1999	
kimiganozomueien	Kimi ga Nozomu Eien	Aventura	2001	
kisspsychocircusthenightmarechild	Kiss: Psycho Circus: The Nightmare Child	Tiro	2000	
kitae	Kita e	Aventura	1999	
konohanatruereport	Konohana: True Report			
kuonnokizunasairinsh	Kuon no Kizuna: Sairinshō	Aventura	2000	
lollackoflove	L.O.L.: Lack of Love	Aventura	2000	Love-de-Lic
lasthope	Last Hope	Tiro	2006	NG.DEV.TEAM
lasthopepinkbullets	Last Hope: Pink Bullets		2009	
legacyofkain	Legacy of Kain	Aventura		Silicon Knights
legacyofkainsoulreaver	Legacy of Kain: Soul Reaver	Aventura	1999	Crystal Dynamics
looneytunesspacerace	Looney Tunes: Space Race	Corrida	2000	Krome Studios Melbourne
mdk2	MDK 2	Tiro	2000	BioWare
mtvsportsskateboardingfeaturingandymacdonald	MTV Sports: Skateboarding Featuring Andy Macdonald		2000	
macrossm3	Macross M3	Tiro	2001	
makenx	Maken X	Acao	2001	
marginal	Marginal	Aventura	2003	
marionettecompany	Marionette Company	Aventura	1999	Microcabin
marsmatrix	Mars Matrix		2000	Takumi Corporation
marvelvscapcom	Marvel vs. Capcom		1996	
marvelvscapcom2newageofheroes	Marvel vs. Capcom 2: New Age of Heroes	Luta	2000	Capcom
marvelvscapcomclashofsuperheroes	Marvel vs. Capcom: Clash of Super Heroes	Luta	1998	Capcom
mathoffmansprobmx	Mat Hoffman's Pro BMX	Esporte	2001	Shaba Games
maxsteelcovertmissions	Max Steel: Covert Missions	Tiro	2001	Treyarch
maximumpool	Maximum Pool		2000	
memoriesoff	Memories Off	Aventura	2001	
memoriesoff2nd	Memories Off 2nd	Aventura	2001	
metalmaxwildeyes	Metal Max Wild Eyes	RPG		Crea-Tech
metalwolfrev	Metal Wolf Rev			
metropolisstreetracer	Metropolis Street Racer	Corrida	2000	Bizarre Creations
midwaysgreatestarcadehits	Midway's Greatest Arcade Hits	Acao	2000	
milkyseason	Milky Season	Simulacao		
millenniumsoldierexpendable	Millennium Soldier: Expendable	Tiro	1999	
mizuiro	Mizuiro	Aventura	2001	
mobilesuitgundamfederationvszeon	Mobile Suit Gundam: Federation vs. Zeon	Acao	2001	Capcom
moekan	Moekan	Aventura	2003	
monacograndprixracingsimulation2	Monaco Grand Prix: Racing Simulation 2	Corrida	1999	Ubisoft
mortalkombat	Mortal Kombat	Luta		Midway Games
mortalkombatgold	Mortal Kombat Gold	Luta	1999	Eurocom
mrdriller	Mr. Driller	Puzzle	2000	Namco
mspacmanmazemadness	Ms. Pac-Man Maze Madness		2000	Namco
musapeyschocomarker	Musapey's Choco Marker	Puzzle		
mymerrymay	My Merry May	Aventura	2002	KID
mymerrymaybe	My Merry Maybe	Aventura	2003	KID
mysterydungeon	Mystery Dungeon	RPG		Chunsoft
nba2k	NBA 2K		1999	Visual Concepts
nba2k1	NBA 2K1		2000	Visual Concepts
nba2k2	NBA 2K2		2001	Visual Concepts
nbahoopz	NBA Hoopz		2001	Eurocom
nbashowtimenbaonnbc	NBA Showtime: NBA on NBC		1999	Midway Games
ncaacollegefootball2k2roadtotherosebowl	NCAA College Football 2K2: Road to the Rose Bowl		2001	Visual Concepts
neoxyx	NEO XYX	Tiro	2013	
nfl2k	NFL 2K		1999	Visual Concepts
nfl2k1	NFL 2K1			Visual Concepts
nfl2k2	NFL 2K2		2001	Visual Concepts
nflblitz2000	NFL Blitz 2000		1999	
nflblitz2001	NFL Blitz 2001		2000	
nflqbclub2001	NFL QB Club 2001			High Voltage Software
nflquarterbackclub2000	NFL Quarterback Club 2000		1999	Acclaim Studios Austin
nhl2k	NHL 2K		2000	
nhl2k2	NHL 2K2			
namcomuseum	Namco Museum	Acao	1995	Namco
nanatsunohikansenritsunobishou	Nanatsu no Hikan: Senritsu no Bishou	Aventura	2000	Koei
nappletale	Napple Tale	Plataforma	2000	
natsuirocelebration	Natsuiro Celebration	Simulacao	1999	
neongenesisevangelionayanamiraisingproject	Neon Genesis Evangelion: Ayanami Raising Project	Simulacao	2001	Gainax
neongenesisevangeliontypinghokankeikaku	Neon Genesis Evangelion: Typing Hokan Keikaku		2001	
never7theendofinfinity	Never 7: The End of Infinity	Aventura	2000	KID
nightmarecreatures	Nightmare Creatures	Acao		
nightmarecreaturesii	Nightmare Creatures II	Aventura	2000	Kalisto Entertainment
nijuuei	Nijuuei	Aventura		
okaeriyuunagiironokoimonogatari	Okaeri! Yuunagi-iro no Koi Monogatari		2001	HuneX
omoidenikawarukimimemoriesoff	Omoide ni Kawaru Kimi: Memories Off	Aventura	2001	
oogabooga	Ooga Booga	Luta	2001	Visual Concepts
openspace	OpenSpace			
orangepocket	Orange Pocket	Aventura	2003	Hooksoft
outtrigger	Outtrigger	Tiro	2001	Sega AM2
pbatourbowling2001	PBA Tour Bowling 2001			Bethesda Softworks
pod2	POD 2	Corrida		
panzerfront	Panzer Front	Simulacao	1999	Enterbrain
paperboy	Paperboy	Acao	1985	Atari Games
patissiernanyanko	Patissier na Nyanko	Aventura	2003	Pajama Soft
penpentriicelon	Pen Pen TriIcelon	Corrida	1998	General Entertainment
phantasystar	Phantasy Star	RPG		Sonic Team
phantasystaronline	Phantasy Star Online	RPG	2000	Sonic Team
phantasystaronlineversion2	Phantasy Star Online version 2		2001	
piersolarandthegreatarchitects	Pier Solar and the Great Architects	RPG	2010	WaterMelon
planetring	Planet Ring			Sega
plasmaswordnightmareofbilstein	Plasma Sword: Nightmare of Bilstein	Luta	1999	Capcom
popnmusic	Pop'n Music	Ritmo	1998	Konami
popnmusic3	Pop'n music 3	Ritmo	1999	
popnmusic4	Pop'n music 4	Ritmo		
powerstone	Power Stone		1999	Capcom
powerstone2	Power Stone 2	Luta	2000	Capcom
princeofpersia	Prince of Persia	Plataforma		
princeofpersia3d	Prince of Persia 3D	Plataforma	1999	Avalanche Software
princessholiday	Princess Holiday	Aventura	2002	
prismheart	Prism Heart	Aventura	2000	
prismaticallization	Prismaticallization	Aventura	1999	
projectjustice	Project Justice	Luta	2000	Capcom
propellerarena	Propeller Arena	Acao	2001	Sega AM2
psychicforce	Psychic Force	Luta	1996	Taito
psychicforce2012	Psychic Force 2012	Luta	1999	Taito
psyvariar2	Psyvariar 2	Tiro	2004	
puyopopfever	Puyo Pop Fever	Puzzle	2004	Sonic Team
puyopuyoda	Puyo Puyo DA!	Ritmo	1999	Compile
puyopuyon	Puyo Puyo~n	Puzzle	1999	Compile
puzzlebobble4	Puzzle Bobble 4	Puzzle	1998	Taito
qbert	Q*bert	Plataforma	1982	Atari
quake	Quake	Tiro	1996	id Software
quakeii	Quake II	Tiro	1997	id Software
quakeiiiarena	Quake III Arena	Tiro	1999	id Software
quizahmygoddess	Quiz Ah! My Goddess			
racingsimulation2	Racing Simulation 2		1998	Ubisoft
radirgy	Radirgy	Tiro	2005	Milestone
railroadtycoonii	Railroad Tycoon II	Estrategia	1998	PopTop Software
rainbowcotton	Rainbow Cotton	Tiro	2000	Success
rayman	Rayman	Plataforma	1995	Ubisoft Romania
rayman2thegreatescape	Rayman 2: The Great Escape	Plataforma	1999	
razorfreestylescooter	Razor Freestyle Scooter	Esporte	2000	Shaba Games
revolt	Re-Volt	Corrida	1999	Acclaim Studios London
ready2rumbleboxing	Ready 2 Rumble Boxing		1999	Midway Games
ready2rumbleboxinground2	Ready 2 Rumble Boxing: Round 2		2000	Midway Games
realsoundkazenoregret	Real Sound: Kaze no Regret		1997	WARP
recordoflodosswaradventofcardice	Record of Lodoss War: Advent of Cardice	RPG	2000	Neverland
reddogsuperiorfirepower	Red Dog: Superior Firepower	Acao	2000	Argonaut Games
redlineracer	Redline Racer	Corrida	1998	Criterion Games
reelfishingwild	Reel Fishing: Wild		2001	
renaichu	Ren'ai CHU!	Aventura	2001	Saga Planets
rentahero	Rent-A-Hero	RPG	1991	Sega
residentevil	Resident Evil	Tiro		Capcom
residentevil2	Resident Evil 2	Aventura	1998	Capcom
residentevil3nemesis	Resident Evil 3: Nemesis	Aventura	1999	Capcom
residentevilcodeveronica	Resident Evil – Code: Veronica	Aventura	2000	Capcom
residentevilcodeveronicax	Resident Evil: Code: Veronica X			Capcom
revivesosei	Revive... Sosei	Aventura	1999	Data East
rez	Rez	Tiro	2001	Sonic Team
rippinriderssnowboarding	Rippin' Riders Snowboarding		1999	UEP Systems
roadsters	Roadsters	Corrida	1999	Titus Interactive
romanceofthethreekingdomsivwalloffire	Romance of the Three Kingdoms IV: Wall of Fire	Estrategia	1994	Koei
romanceofthethreekingdomsviawakeningofthedragon	Romance of the Three Kingdoms VI: Awakening of the Dragon	Estrategia	2000	Koei
roommania203	Roommania #203	Simulacao	2000	
roommatenovelsatouyuka	Roommate Novel: Satou Yuka	Aventura		
roommateinoueryko	Roommate: Inoue Ryōko	Aventura	1997	
runabout	Runabout	Corrida	1997	Climax Entertainment
rush	Rush	Corrida		Midway Games
rushrushrallyracing	Rush Rush Rally Racing	Corrida	2009	Senile Team
saberriderandthestarsheriffsthegame	Saber Rider and the Star Sheriffs - The Game	Tiro	2016	
sakuramomokogekijcojicoji	Sakura Momoko Gekijō Coji-Coji		2000	
sakurataisenonline	Sakura Taisen Online		2001	Sega
sakurawars	Sakura Wars	RPG	1996	Sega
sakurawars2thoushaltnotdie	Sakura Wars 2: Thou Shalt Not Die	RPG	1998	Sega Wow
sakurawars3isparisburning	Sakura Wars 3: Is Paris Burning?	RPG	2001	Sega Wow
sakurawars4fallinlovemaidens	Sakura Wars 4: Fall in Love, Maidens	RPG	2002	Red Entertainment
sambadeamigo	Samba de Amigo	Ritmo	2000	Sonic Team
sanfranciscorush2049	San Francisco Rush 2049	Corrida	1999	Atari Games
seaman	Seaman	Simulacao	1999	Vivarium Inc.
segabassfishing	Sega Bass Fishing	Esporte	1999	Sega Wow
segabassfishing2	Sega Bass Fishing 2		2001	
segaextremesports	Sega Extreme Sports	Esporte	2000	
segagt	Sega GT	Corrida	2000	Sega Wow
segamarinefishing	Sega Marine Fishing	Esporte	2000	Sega Wow
segasmashpack	Sega Smash Pack		1999	Sega
segaswirl	Sega Swirl	Puzzle	1999	
segaworldwidesoccer2000	Sega Worldwide Soccer 2000			Silicon Dreams Studios
seganet	SegaNet			
segagaga	Segagaga	RPG	2001	
seireikirayblade	Seireiki Rayblade	RPG	2000	Winkysoft
sengokuturb	Sengoku Turb	RPG	1999	
sentimentalgraffiti	Sentimental Graffiti			
seventhcrossevolution	Seventh Cross: Evolution	Simulacao	1998	
shadowman	Shadow Man	Aventura	1999	Acclaim Studios Teesside
shenmue	Shenmue	RPG	1999	Sega AM2
shenmueii	Shenmue II	RPG	2001	Sega AM2
shinnipponprowrestlingtoukonretsuden	Shin Nippon Pro Wrestling Toukon Retsuden			
shinnipponprowrestlingtoukonretsuden4	Shin Nippon Pro Wrestling: Toukon Retsuden 4		1999	
shirenthewanderersidestoryswordswomanasukaarrives	Shiren the Wanderer Side Story: Swordswoman Asuka Arrives!		2002	Chunsoft
shirotsumesouwaepisodeoftheclovers	Shirotsume Souwa -Episode of the Clovers-	Aventura	2002	
silentscope	Silent Scope	Tiro	1999	Konami
silver	Silver	RPG	1999	
simple2000seriesdc	Simple 2000 Series DC			
skiesofarcadia	Skies of Arcadia	RPG	2000	Sega Wow
slavezero	Slave Zero	Acao	1999	Accolade
snow	Snow	Aventura	2003	
soldieroffortune	Soldier of Fortune	Tiro	2000	Raven Software
sonicadventure	Sonic Adventure	Plataforma	1998	Sonic Team
sonicadventure2	Sonic Adventure 2	Plataforma	2001	Sonic Team
sonicshuffle	Sonic Shuffle		2000	Sonic Team
sonicthehedgehog	Sonic the Hedgehog	Plataforma	1991	Konami
sorcerian	Sorcerian	RPG	1987	Sega
soulfighter	Soul Fighter	Luta	1999	Toka
southparkrally	South Park Rally	Corrida	1999	Tantalus Media
southparkchefsluvshack	South Park: Chef's Luv Shack		1999	Acclaim Studios Austin
spacechannel5	Space Channel 5	Ritmo	1999	Sonic Team
spacechannel5part2	Space Channel 5: Part 2	Ritmo	2002	Sega
spacegriffonvf9	Space Griffon VF-9	Tiro		
spawninthedemonshand	Spawn: In the Demon's Hand	Acao	2000	Capcom
specopsiigreenberets	Spec Ops II: Green Berets	Tiro	1999	Zombie Studios
speedbusters	Speed Busters	Corrida	1998	Ubisoft
spiderman	Spider-Man	Luta	2000	Neversoft
spiritofspeed1937	Spirit of Speed 1937	Corrida	2000	
sportsjam	Sports Jam	Esporte		
starwarsepisodeijedipowerbattles	Star Wars Episode I: Jedi Power Battles	Aventura	2000	Lucasfilm Games
starwarsepisodeiracer	Star Wars Episode I: Racer	Corrida	1999	Lucasfilm Games
starwarsdemolition	Star Wars: Demolition		2000	Luxoflux
starfirelightblaster	StarFire LightBlaster			
starlancer	Starlancer	Simulacao	2000	
streetfighter	Street Fighter	Luta	1987	Capcom
streetfighteralpha3	Street Fighter Alpha 3	Luta	1998	Capcom
streetfighteriii	Street Fighter III	Luta	1999	Capcom
streetfighteriii2ndimpact	Street Fighter III: 2nd Impact	Luta	1997	Capcom
streetfighteriii3rdstrike	Street Fighter III: 3rd Strike	Luta	1999	Capcom
streetfighterzero3upper	Street Fighter Zero 3 Upper	Luta	2001	
stuntgp	Stunt GP	Corrida	2001	Team17
stupidinvaders	Stupid Invaders	Aventura	2001	Xilam
sturmwind	Sturmwind	Tiro	2013	
suika	Suika	Aventura	2001	
supermagneticneo	Super Magnetic Neo	Plataforma	2000	Genki
superpuzzlefighteriiturbo	Super Puzzle Fighter II Turbo	Puzzle	1996	Capcom
superrobotwarsalpha	Super Robot Wars Alpha	RPG	2000	Banpresto
superrunaboutsanfranciscoedition	Super Runabout: San Francisco Edition	Corrida		
surfrocketracers	Surf Rocket Racers	Corrida		
surgetherabbit	Surge the Rabbit	Plataforma	2019	
swordoftheberserkgutsrage	Sword of the Berserk: Guts' Rage	Aventura	1999	Yuke's
sydney2000	Sydney 2000	Esporte	2000	Attention to Detail
tnnmotorsportshardcoreheat	TNN Motorsports Hardcore Heat	Corrida	1999	CRI Middleware
tamacue	Tama-cue	Aventura	2003	
taxi2	Taxi 2	Corrida		
techromancer	Tech Romancer	Luta	1998	Capcom
teeoff	Tee Off		1999	
tenohiraotaiyni	Tenohira o, Taiyō ni	Aventura	2003	
testdrive6	Test Drive 6	Corrida	1999	Midway Studios – Newcastle
testdrivecycles	Test Drive Cycles	Corrida	2000	
testdrivelemans	Test Drive Le Mans	Corrida	1999	Atari
thegrinch	The Grinch	Aventura	2000	Behaviour Interactive
thehouseofthedead2	The House of the Dead 2	Tiro	1998	Sega Wow
thekingoffighters98	The King of Fighters '98	Luta	1998	SNK
thekingoffighters99	The King of Fighters '99	Luta	1999	SNK
thekingoffighters2000	The King of Fighters 2000	Luta	2000	SNK
